date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:23:21	23183/23183	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20May%202022%2016:53:21%20GMT	http://paul-themes.com/html/bauhaus-op/demo/index-fullpage-dark.html	C:/Users/PC/Desktop/Artist/DD/paul-themes.com/html/bauhaus-op/demo/index-fullpage-dark.html	(from )
22:23:22	237/237	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2024%20May%202022%2016:53:21%20GMT	http://paul-themes.com/robots.txt		(from )
22:23:23	1214/1214	---M--	200	added ('OK')	image/png	etag:%225c801ec6-4be%22	http://paul-themes.com/html/bauhaus-op/demo/favicon.png	C:/Users/PC/Desktop/Artist/DD/paul-themes.com/html/bauhaus-op/demo/favicon.png	(from http://paul-themes.com/html/bauhaus-op/demo/index-fullpage-dark.html)
22:23:23	1215/1215	---M--	200	added ('OK')	image/png	etag:%225c801ec6-4bf%22	http://paul-themes.com/html/bauhaus-op/demo/apple-touch-icon.png	C:/Users/PC/Desktop/Artist/DD/paul-themes.com/html/bauhaus-op/demo/apple-touch-icon.png	(from http://paul-themes.com/html/bauhaus-op/demo/index-fullpage-dark.html)
22:23:24	1879/1879	---M--	200	added ('OK')	image/png	etag:%225c801ec6-757%22	http://paul-themes.com/html/bauhaus-op/demo/apple-touch-icon-72x72.png	C:/Users/PC/Desktop/Artist/DD/paul-themes.com/html/bauhaus-op/demo/apple-touch-icon-72x72.png	(from http://paul-themes.com/html/bauhaus-op/demo/index-fullpage-dark.html)
22:23:24	2743/2743	---M--	200	added ('OK')	image/png	etag:%225c801ec5-ab7%22	http://paul-themes.com/html/bauhaus-op/demo/apple-touch-icon-114x114.png	C:/Users/PC/Desktop/Artist/DD/paul-themes.com/html/bauhaus-op/demo/apple-touch-icon-114x114.png	(from http://paul-themes.com/html/bauhaus-op/demo/index-fullpage-dark.html)
22:23:25	32283/32283	---MCZ	200	added ('OK')	text/css	etag:W/%225c801ec9-a882%22	http://paul-themes.com/html/bauhaus-op/demo/css/style.css	C:/Users/PC/Desktop/Artist/DD/paul-themes.com/html/bauhaus-op/demo/css/style.css	(from http://paul-themes.com/html/bauhaus-op/demo/index-fullpage-dark.html)
22:23:25	2029/2029	---MCZ	200	added ('OK')	text/css	etag:W/%225c801ec8-9b9%22	http://paul-themes.com/html/bauhaus-op/demo/css/dark.css	C:/Users/PC/Desktop/Artist/DD/paul-themes.com/html/bauhaus-op/demo/css/dark.css	(from http://paul-themes.com/html/bauhaus-op/demo/index-fullpage-dark.html)
22:23:26	1205/1205	---M--	200	added ('OK')	image/png	etag:%225c801ecc-4b5%22	http://paul-themes.com/html/bauhaus-op/demo/images/brand-white.png	C:/Users/PC/Desktop/Artist/DD/paul-themes.com/html/bauhaus-op/demo/images/brand-white.png	(from http://paul-themes.com/html/bauhaus-op/demo/index-fullpage-dark.html)
22:23:56	171734/171734	---M--	200	added ('OK')	image/jpeg	etag:%225c801ecc-29ed6%22	http://paul-themes.com/html/bauhaus-op/demo/images/1-470x490.jpg	C:/Users/PC/Desktop/Artist/DD/paul-themes.com/html/bauhaus-op/demo/images/1-470x490.jpg	(from http://paul-themes.com/html/bauhaus-op/demo/index-fullpage-dark.html)
